Country,Year,infant_mortality,fertility
Kenya,1962,109.9,8.04
Kiribati,1962,NA,7.08
South Korea,1962,72.4,5.79
Kuwait,1962,89,7.31
Kyrgyz Republic,1962,NA,5.31
Lao,1962,NA,5.97
Latvia,1962,NA,1.86
Lebanon,1962,54.7,5.69
Lesotho,1962,141.7,5.82
Liberia,1962,211.4,6.45
Libya,1962,148.4,7.61
Lithuania,1962,NA,2.46
Luxembourg,1962,NA,2.39
"Macao, China",1962,NA,4.53
"Macedonia, FYR",1962,NA,3.6
Madagascar,1962,NA,7.3
Malawi,1962,214.6,6.98
Malaysia,1962,61.1,6.05
Maldives,1962,NA,7.12
Mali,1962,225.2,6.75
Malta,1962,33.7,3.2
Mauritania,1962,128.9,6.79
Mauritius,1962,63.6,6.12
Mexico,1962,94.9,6.77
"Micronesia, Fed. Sts.",1962,NA,6.91
Moldova,1962,NA,3.18
Mongolia,1962,NA,7.35
Montenegro,1962,NA,3.31
Morocco,1962,140.4,7.13
Mozambique,1962,NA,6.6
Namibia,1962,NA,6.18
Nepal,1962,213.3,6
Netherlands,1962,15.6,3.18
New Caledonia,1962,NA,5.22
New Zealand,1962,20.9,3.51
Nicaragua,1962,131.1,7.18
Niger,1962,NA,7.12
Nigeria,1962,182.6,6.35
Norway,1962,17.5,2.89
Oman,1962,226,7.25
Pakistan,1962,178,6.6
Panama,1962,63.6,5.81
Papua New Guinea,1962,126.9,6.28
Paraguay,1962,61.4,6.47
Peru,1962,129.1,6.86
Philippines,1962,64.2,7.02
Poland,1962,49.6,2.72
Portugal,1962,78.7,3.19
Puerto Rico,1962,NA,4.41
Qatar,1962,NA,6.98
Romania,1962,NA,2.02
Russia,1962,NA,2.34
Rwanda,1962,123.4,8.2
St. Lucia,1962,NA,6.88
St. Vincent and the Grenadines,1962,NA,7.07
Samoa,1962,NA,7.63
Saudi Arabia,1962,NA,7.24
Senegal,1962,126,7.04
Serbia,1962,NA,2.57
Seychelles,1962,70.9,5.53
Sierra Leone,1962,217.5,6.16
Singapore,1962,30.8,5.27
Slovak Republic,1962,NA,2.94
Slovenia,1962,NA,2.33
Solomon Islands,1962,119.3,6.38
South Africa,1962,NA,6.1
Spain,1962,41.7,2.8
Sri Lanka,1962,67.1,5.3
Sudan,1962,104.1,6.74
Suriname,1962,NA,6.56
Swaziland,1962,138.1,6.75
Sweden,1962,15.6,2.26
Switzerland,1962,20.7,2.58
Syria,1962,110.6,7.52
Tajikistan,1962,NA,6.31
Tanzania,1962,141.9,6.8
Thailand,1962,95.8,6.16
Timor-Leste,1962,NA,6.38
Togo,1962,156.4,6.62
Tonga,1962,NA,7.3
Trinidad and Tobago,1962,53.1,5.05
Tunisia,1962,178.7,7.12
Turkey,1962,157.1,6.18
Turkmenistan,1962,NA,6.63
Uganda,1962,127.3,7.04
Ukraine,1962,NA,2.21
United Arab Emirates,1962,124,6.89
United Kingdom,1962,22,2.79
United States,1962,24.9,3.48
Uruguay,1962,54.9,2.89
Uzbekistan,1962,NA,6.78
Vanuatu,1962,101.6,7.03
Venezuela,1962,56.6,6.63
West Bank and Gaza,1962,NA,7.91
Vietnam,1962,69.9,6.43
Yemen,1962,263.7,7.33
Zambia,1962,118.7,7.13
Zimbabwe,1962,87.6,7.27
Albania,1967,86.8,5.38
Algeria,1967,149.2,7.66
Angola,1967,NA,7.4
Antigua and Barbuda,1967,NA,4.04
Argentina,1967,58.73,3.05
Armenia,1967,NA,3.61
Aruba,1967,NA,3.42
Australia,1967,18.3,2.85
Austria,1967,26.4,2.62
Azerbaijan,1967,NA,5.06
Bahamas,1967,NA,3.75
Bahrain,1967,74.5,7
Bangladesh,1967,153,6.92
Barbados,1967,47.1,3.64
Belarus,1967,NA,2.43
Belgium,1967,22.5,2.43
Belize,1967,78.2,6.36
Benin,1967,164,6.63
Bhutan,1967,NA,6.67
Bolivia,1967,153.6,6.59
Bosnia and Herzegovina,1967,NA,3.24
Botswana,1967,94.1,6.7
Brazil,1967,109.8,5.49
Brunei,1967,NA,5.8
Bulgaria,1967,38.4,2.14
Burkina Faso,1967,150.9,6.53
Burundi,1967,145.3,7.25
Cambodia,1967,NA,6.75
Cameroon,1967,143.1,6.06
Canada,1967,21.2,2.6
Cape Verde,1967,NA,6.98
Central African Republic,1967,145.6,5.95
Chad,1967,NA,6.39
Chile,1967,79,4.59
China,1967,NA,5.25
Colombia,1967,77.1,6.25
Comoros,1967,NA,7.04
"Congo, Dem. Rep.",1967,NA,6.14
"Congo, Rep.",1967,94.9,6.17
Costa Rica,1967,64.6,6
Cote d'Ivoire,1967,174.2,7.81
Croatia,1967,NA,2.1
Cuba,1967,39.3,4.43
Cyprus,1967,NA,2.89
Czech Republic,1967,NA,2
Denmark,1967,16.1,2.35
Djibouti,1967,NA,6.7
Dominican Republic,1967,91.1,6.74
Ecuador,1967,102.4,6.42
Egypt,1967,169.9,6.24
El Salvador,1967,111.8,6.49
Equatorial Guinea,1967,NA,5.64
Eritrea,1967,NA,6.71
Estonia,1967,NA,2.01
Ethiopia,1967,142.7,6.88
Fiji,1967,44.5,5.08
Finland,1967,15.1,2.32
France,1967,17.1,2.68
French Polynesia,1967,NA,5.22
Gabon,1967,NA,4.9
Gambia,1967,132.6,5.94
Georgia,1967,NA,2.68
Germany,1967,NA,2.37
Ghana,1967,120.6,6.95
Greece,1967,39.9,2.35
Greenland,1967,NA,6.4
Grenada,1967,NA,5.04
Guatemala,1967,127.1,6.32
Guinea,1967,200.9,6.15
Guinea-Bissau,1967,NA,5.09
Guyana,1967,56.6,5.19
Haiti,1967,172.9,6.03
Honduras,1967,113.1,7.42
"Hong Kong, China",1967,NA,3.96
Hungary,1967,42,1.95
Iceland,1967,14.4,3.34
India,1967,148.9,5.7
Indonesia,1967,123.4,5.58
Iran,1967,191.3,6.7
Iraq,1967,93,7.3
Ireland,1967,21.9,3.86
Israel,1967,NA,3.8
Italy,1967,33.1,2.52
Jamaica,1967,49.3,5.79
Japan,1967,16.3,2.02
Jordan,1967,75.2,8.03
Kazakhstan,1967,NA,3.79
Kenya,1967,97.1,8.13
Kiribati,1967,106.5,7.01
South Korea,1967,54,4.85
Kuwait,1967,63.7,7.41
Kyrgyz Republic,1967,NA,5.11
Lao,1967,NA,5.97
Latvia,1967,NA,1.82
Lebanon,1967,49.8,5.3
Lesotho,1967,138.9,5.8
Liberia,1967,201.7,6.58
Libya,1967,113.3,7.78
Lithuania,1967,24.1,2.32
Luxembourg,1967,22.4,2.22
"Macao, China",1967,NA,2.94
"Macedonia, FYR",1967,NA,3.19
Madagascar,1967,105.4,7.31
Malawi,1967,211.5,7.18
Malaysia,1967,49.1,5.33
Maldives,1967,193.1,7.23
Mali,1967,203,6.86
Malta,1967,28.3,2.24
Mauritania,1967,114.8,6.8
Mauritius,1967,68.4,4.85
Mexico,1967,84.1,6.78
"Micronesia, Fed. Sts.",1967,NA,6.91
Moldova,1967,NA,2.72
Mongolia,1967,NA,7.59
Montenegro,1967,NA,2.83
Morocco,1967,127.9,6.95
Mozambique,1967,184.1,6.6
Namibia,1967,62.3,6.3
Nepal,1967,191.3,5.99
Netherlands,1967,13.8,2.81
New Caledonia,1967,NA,5.26
New Zealand,1967,17.9,3
Nicaragua,1967,123.1,6.96
Niger,1967,133.1,7.3
Nigeria,1967,182.6,6.36
Norway,1967,14.8,2.8
Oman,1967,178.5,7.28
Pakistan,1967,151.5,6.6
Panama,1967,56.2,5.47
Papua New Guinea,1967,109.5,6.23
Paraguay,1967,59.3,6.17
Peru,1967,111.6,6.61
Philippines,1967,58,6.59
Poland,1967,35.7,2.3
Portugal,1967,61.7,3.13
Puerto Rico,1967,NA,3.53
Qatar,1967,NA,6.98
Romania,1967,NA,3.65
Russia,1967,NA,2.01
Rwanda,1967,124,8.2
St. Lucia,1967,NA,6.51
St. Vincent and the Grenadines,1967,NA,6.49
Samoa,1967,NA,7.4
Saudi Arabia,1967,NA,7.26
Senegal,1967,124.7,7.23
Serbia,1967,NA,2.44
Seychelles,1967,61.8,5.92
Sierra Leone,1967,200.8,6.52
Singapore,1967,25.3,3.82
Slovak Republic,1967,NA,2.58
Slovenia,1967,NA,2.33
Solomon Islands,1967,92.8,6.55
South Africa,1967,NA,5.77
Spain,1967,32.1,2.85
Sri Lanka,1967,57,4.73
Sudan,1967,97.4,6.85
Suriname,1967,NA,6.05
Swaziland,1967,126.5,6.84
Sweden,1967,12.6,2.27
Switzerland,1967,16.9,2.4
Syria,1967,87.4,7.57
Tajikistan,1967,NA,6.69
Tanzania,1967,133.5,6.79
Thailand,1967,80.8,6.01
Timor-Leste,1967,NA,6.21
Togo,1967,141.8,6.91
Tonga,1967,47.8,6.59
Trinidad and Tobago,1967,46.7,3.99
Tunisia,1967,141.4,6.87
Turkey,1967,136.6,5.8
Turkmenistan,1967,NA,6.47
Uganda,1967,117.2,7.11
Ukraine,1967,NA,2.01
United Arab Emirates,1967,90.6,6.78
United Kingdom,1967,19.1,2.61
United States,1967,22,2.56
Uruguay,1967,51.2,2.83
Uzbekistan,1967,NA,6.66
Vanuatu,1967,86.6,6.53
Venezuela,1967,51.3,6.01
West Bank and Gaza,1967,NA,8.02
Vietnam,1967,59,6.49
Yemen,1967,247.8,7.47
Zambia,1967,112.9,7.38
Zimbabwe,1967,76.3,7.4
Albania,1972,71,4.81
Algeria,1972,140.6,7.59
Angola,1972,NA,7.23
Antigua and Barbuda,1972,NA,3.33
Argentina,1972,58,3.15
Armenia,1972,NA,3.03
Aruba,1972,NA,2.69
Australia,1972,16.8,2.74
Austria,1972,24.1,2.09
Azerbaijan,1972,NA,4.35
Bahamas,1972,26.8,3.47
Bahrain,1972,48.1,6.09
Bangladesh,1972,148.2,6.93
Barbados,1972,37.3,2.79
Belarus,1972,NA,2.25
Belgium,1972,18.7,2.05
Belize,1972,65.4,6.28
Benin,1972,152.5,6.82
Bhutan,1972,171.2,6.68
Bolivia,1972,138,6.5
Bosnia and Herzegovina,1972,NA,2.68
Botswana,1972,79.1,6.58
Brazil,1972,97.4,4.78
Brunei,1972,NA,5.76
Bulgaria,1972,31.6,2.16
Burkina Faso,1972,147.1,6.7
Burundi,1972,146.2,7.35
Cambodia,1972,NA,6.17
Cameroon,1972,118.2,6.29
Canada,1972,16.7,1.97
Cape Verde,1972,96.5,6.89
Central African Republic,1972,132.1,5.95
Chad,1972,131.8,6.64
Chile,1972,65.7,3.68
China,1972,73.3,4.92
Colombia,1972,65.9,5.15
Comoros,1972,145.1,7.06
"Congo, Dem. Rep.",1972,145.9,6.27
"Congo, Rep.",1972,84.4,6.3
Costa Rica,1972,52.5,4.49
Cote d'Ivoire,1972,151.3,7.94
Croatia,1972,NA,1.98
Cuba,1972,30.9,3.65
Cyprus,1972,NA,2.49
Czech Republic,1972,NA,2.15
Denmark,1972,12.5,2.03
Djibouti,1972,NA,6.84
Dominican Republic,1972,81.6,5.78
Ecuador,1972,91.2,5.87
Egypt,1972,156.8,5.76
El Salvador,1972,102.9,6.01
Equatorial Guinea,1972,NA,5.68
Eritrea,1972,124.8,6.63
Estonia,1972,NA,2.13
Ethiopia,1972,142.5,7.06
Fiji,1972,42.7,4.28
Finland,1972,12,1.59
France,1972,13.7,2.33
French Polynesia,1972,NA,4.89
Gabon,1972,NA,5.21
Gambia,1972,121.5,6.19
Georgia,1972,NA,2.58
Germany,1972,20.6,1.8
Ghana,1972,118.2,6.92
Greece,1972,30.8,2.35
Greenland,1972,NA,2.77
Grenada,1972,NA,4.54
Guatemala,1972,112.1,6.21
Guinea,1972,191.1,6.25
Guinea-Bissau,1972,NA,6.81
Guyana,1972,55,4.97
Haiti,1972,156.6,5.64
Honduras,1972,95.2,7.11
"Hong Kong, China",1972,NA,3.24
Hungary,1972,38.4,2.07
Iceland,1972,11.8,2.88
India,1972,138.3,5.32
Indonesia,1972,106.7,5.34
Iran,1972,120.7,6.29
Iraq,1972,74.9,7.23
Ireland,1972,18.3,3.79
Israel,1972,NA,3.8
Italy,1972,26.5,2.38
Jamaica,1972,41.8,5.11
Japan,1972,11.9,2.11
Jordan,1972,60.2,7.82
Kazakhstan,1972,66.9,3.44
Kenya,1972,87.3,8.01
Kiribati,1972,92.6,5.35
South Korea,1972,33.3,4.27
Kuwait,1972,47.9,6.98
Kyrgyz Republic,1972,90.8,4.72
Lao,1972,138.2,5.99
Latvia,1972,NA,1.96
Lebanon,1972,47.2,4.73
Lesotho,1972,125.4,5.8
Liberia,1972,184.4,6.78
Libya,1972,86,7.93
Lithuania,1972,18.4,2.29
Luxembourg,1972,17.1,1.78
"Macao, China",1972,NA,1.82
"Macedonia, FYR",1972,NA,2.88
Madagascar,1972,95.3,7.32
Malawi,1972,200.6,7.39
Malaysia,1972,39.8,4.6
Maldives,1972,159.7,7.16
Mali,1972,191.1,6.92
Malta,1972,22.3,1.98
Mauritania,1972,107,6.76
Mauritius,1972,58.7,3.58
Mexico,1972,72.7,6.53
"Micronesia, Fed. Sts.",1972,NA,6.89
Moldova,1972,48.5,2.54
Mongolia,1972,NA,7.5
Montenegro,1972,NA,2.63
Morocco,1972,116.8,6.49
Mozambique,1972,180.5,6.58
Namibia,1972,62.9,6.57
Nepal,1972,170.9,5.95
Netherlands,1972,11.7,2.15
New Caledonia,1972,NA,5.17
New Zealand,1972,16.2,2.9
Nicaragua,1972,111.2,6.81
Niger,1972,140.4,7.5
Nigeria,1972,159.2,6.58
Norway,1972,12.2,2.38
Oman,1972,136.1,7.41
Pakistan,1972,135.7,6.61
Panama,1972,47.4,4.94
Papua New Guinea,1972,94.4,6.11
Paraguay,1972,56.8,5.46
Peru,1972,98.3,6.07
Philippines,1972,54.7,6.04
Poland,1972,28.8,2.23
Portugal,1972,47.6,2.88
Puerto Rico,1972,NA,3.01
Qatar,1972,44.8,6.79
Romania,1972,50.1,2.53
Russia,1972,32.9,2.03
Rwanda,1972,134.1,8.28
St. Lucia,1972,47.9,5.81
St. Vincent and the Grenadines,1972,60.3,5.63
Samoa,1972,NA,7.04
Saudi Arabia,1972,110.3,7.3
Senegal,1972,117.5,7.41
Serbia,1972,NA,2.37
Seychelles,1972,48.6,5.47
Sierra Leone,1972,185.2,6.8
Singapore,1972,19.6,2.84
Slovak Republic,1972,NA,2.5
Slovenia,1972,NA,2.24
Solomon Islands,1972,66.8,7.15
South Africa,1972,NA,5.48
Spain,1972,22.6,2.86
Sri Lanka,1972,51.9,4.08
Sudan,1972,93.4,6.91
Suriname,1972,NA,5.34
Swaziland,1972,113.4,6.87
Sweden,1972,10.4,1.91
Switzerland,1972,13.6,1.92
Syria,1972,68.2,7.56
Tajikistan,1972,116,6.81
Tanzania,1972,124,6.76
Thailand,1972,65.8,5.18
Timor-Leste,1972,NA,5.54
Togo,1972,127.2,7.18
Tonga,1972,35.3,5.62
Trinidad and Tobago,1972,42.2,3.43
Tunisia,1972,110.9,6.16
Turkey,1972,119.3,5.38
Turkmenistan,1972,NA,6.18
Uganda,1972,113.7,7.11
Ukraine,1972,27,2.06
United Arab Emirates,1972,59.6,6.4
United Kingdom,1972,17.2,2.07
United States,1972,18.3,2.01
Uruguay,1972,47.8,2.97
Uzbekistan,1972,NA,6.34
Vanuatu,1972,71.9,6.13
Venezuela,1972,45.5,5.05
West Bank and Gaza,1972,NA,7.75
Vietnam,1972,54.7,6.35
Yemen,1972,204.3,7.67
Zambia,1972,103.7,7.45
Zimbabwe,1972,71.1,7.42
Albania,1977,58.6,4.09
Algeria,1977,119,7.24
Angola,1977,NA,7.19
Antigua and Barbuda,1977,NA,2.36
Argentina,1977,47.2,3.39
Armenia,1977,68.3,2.56
Aruba,1977,NA,2.45
Australia,1977,12.7,2.01
Austria,1977,16.6,1.63
Azerbaijan,1977,NA,3.68
Bahamas,1977,26.6,3.06
Bahrain,1977,32.6,5.28
Bangladesh,1977,141.4,6.68
Barbados,1977,28.3,2.2
Belarus,1977,NA,2.11
Belgium,1977,14.1,1.73
Belize,1977,55.6,6.2
Benin,1977,136.7,6.98
Bhutan,1977,147.8,6.67
Bolivia,1977,121.3,5.9
Bosnia and Herzegovina,1977,NA,2.27
Botswana,1977,63.2,6.4
Brazil,1977,84.7,4.34
Brunei,1977,NA,4.88
Bulgaria,1977,28.1,2.18
Burkina Faso,1977,127.4,6.98
Burundi,1977,143,7.45
Cambodia,1977,155.4,5.44
Cameroon,1977,113.9,6.47
Canada,1977,12.5,1.75
Cape Verde,1977,69.5,6.65
Central African Republic,1977,122.6,5.95
Chad,1977,128.8,6.86
Chile,1977,41.7,2.89
China,1977,55.8,2.87
Colombia,1977,52.8,4.37
Comoros,1977,129.6,7.08
"Congo, Dem. Rep.",1977,137.1,6.44
"Congo, Rep.",1977,76,6.3
Costa Rica,1977,28.1,3.78
Cote d'Ivoire,1977,124.7,7.84
Croatia,1977,NA,2.01
Cuba,1977,20.8,2.33
Cyprus,1977,NA,2.31
Czech Republic,1977,NA,2.3
Denmark,1977,9.2,1.66
Djibouti,1977,127.6,6.67
Dominican Republic,1977,70.3,4.85
Ecuador,1977,76.5,5.16
Egypt,1977,132.1,5.51
El Salvador,1977,89.6,5.51
Equatorial Guinea,1977,NA,5.68
Eritrea,1977,119.5,6.62
Estonia,1977,NA,2.08
Ethiopia,1977,143.4,7.2
Fiji,1977,39.5,3.99
Finland,1977,8.7,1.69
France,1977,11.5,1.92
French Polynesia,1977,NA,4.3
Gabon,1977,NA,5.54
Gambia,1977,109.8,6.33
Georgia,1977,53.5,2.42
Germany,1977,15.5,1.5
Ghana,1977,106,6.72
Greece,1977,25.9,2.32
Greenland,1977,NA,2.35
Grenada,1977,NA,4.34
Guatemala,1977,96.8,6.2
Guinea,1977,179.1,6.43
Guinea-Bissau,1977,135.3,6.46
Guyana,1977,54.1,4.44
Haiti,1977,139.2,5.78
Honduras,1977,78.5,6.65
"Hong Kong, China",1977,NA,2.44
Hungary,1977,29.4,2.11
Iceland,1977,9.2,2.49
India,1977,124,4.92
Indonesia,1977,92.5,4.81
Iran,1977,95,6.29
Iraq,1977,61.2,6.83
Ireland,1977,15.2,3.34
Israel,1977,18.6,3.51
Italy,1977,17.3,1.99
Jamaica,1977,35.6,4.12
Japan,1977,8.8,1.89
Jordan,1977,49.1,7.46
Kazakhstan,1977,61.4,3.11
Kenya,1977,76,7.7
Kiribati,1977,87.2,4.98
South Korea,1977,17.4,3.11
Kuwait,1977,36,6.05
Kyrgyz Republic,1977,84.5,4.15
Lao,1977,131.2,6.14
Latvia,1977,NA,1.91
Lebanon,1977,43.6,4.27
Lesotho,1977,106.2,5.71
Liberia,1977,168.3,6.93
Libya,1977,65.6,7.98
Lithuania,1977,19.7,2.13
Luxembourg,1977,12.8,1.5
"Macao, China",1977,NA,1.44
"Macedonia, FYR",1977,NA,2.67
Madagascar,1977,101.9,7.01
Malawi,1977,170.6,7.58
Malaysia,1977,30.5,3.99
Maldives,1977,123.7,6.93
Mali,1977,172.8,7
Malta,1977,17,2.09
Mauritania,1977,102,6.59
Mauritius,1977,39.5,3.07
Mexico,1977,62.8,5.42
"Micronesia, Fed. Sts.",1977,NA,6.49
Moldova,1977,42.6,2.46
Mongolia,1977,NA,6.78
Montenegro,1977,NA,2.4
Morocco,1977,104,5.97
Mozambique,1977,176.4,6.53
Namibia,1977,63.7,6.62
Nepal,1977,152.3,5.85
Netherlands,1977,9.7,1.58
New Caledonia,1977,NA,4.1
New Zealand,1977,13.9,2.32
Nicaragua,1977,91.3,6.42
Niger,1977,138.9,7.63
Nigeria,1977,135.8,6.76
Norway,1977,9.3,1.75
Oman,1977,100.1,8.02
Pakistan,1977,126.1,6.6
Panama,1977,39,4.26
Papua New Guinea,1977,82.5,5.9
Paraguay,1977,52.6,5.2
Peru,1977,87,5.44
Philippines,1977,54.2,5.51
Poland,1977,23.3,2.27
Portugal,1977,29.5,2.57
Puerto Rico,1977,NA,2.77
Qatar,1977,34,6.21
Romania,1977,39.3,2.58
Russia,1977,28.7,1.92
Rwanda,1977,148,8.42
St. Lucia,1977,31,5.22
St. Vincent and the Grenadines,1977,55,4.54
Samoa,1977,NA,6.55
Saudi Arabia,1977,83.4,7.3
Senegal,1977,100.7,7.46
Serbia,1977,NA,2.37
Seychelles,1977,33.5,4.41
Sierra Leone,1977,173.2,7.01
Singapore,1977,12.3,1.95
Slovak Republic,1977,NA,2.47
Slovenia,1977,NA,2.17
Solomon Islands,1977,48.9,7.1
South Africa,1977,78.6,5.06
Spain,1977,19.7,2.59
Sri Lanka,1977,45.6,3.63
Sudan,1977,89.8,6.92
Suriname,1977,NA,4.34
Swaziland,1977,93.9,6.76
Sweden,1977,8,1.65
Switzerland,1977,9.8,1.57
Syria,1977,53.9,7.36
Tajikistan,1977,102.5,6.04
Tanzania,1977,114,6.73
Thailand,1977,52.9,4.03
Timor-Leste,1977,NA,4.51
Togo,1977,114.1,7.28
Tonga,1977,27.7,5.47
Trinidad and Tobago,1977,37.4,3.27
Tunisia,1977,83.2,5.71
Turkey,1977,101.5,4.74
Turkmenistan,1977,106.2,5.44
Uganda,1977,123.3,7.1
Ukraine,1977,24.2,2
United Arab Emirates,1977,38.2,5.74
United Kingdom,1977,14.1,1.74
United States,1977,14.5,1.78
Uruguay,1977,46.5,2.91
Uzbekistan,1977,NA,5.66
Vanuatu,1977,59.9,5.79
Venezuela,1977,39.2,4.48
West Bank and Gaza,1977,69.8,7.52
Vietnam,1977,49.8,5.61
Yemen,1977,164.6,8.47
Zambia,1977,95.1,7.38
Zimbabwe,1977,69.8,7.33
Albania,1982,56.1,3.46
Algeria,1982,84.6,6.58
Angola,1982,136.8,7.2
Antigua and Barbuda,1982,NA,2.1
Argentina,1982,32.8,3.21
Armenia,1982,57.1,2.38
Aruba,1982,NA,2.36
Australia,1982,10.1,1.93
Austria,1982,12.6,1.66
Azerbaijan,1982,84.9,3.09
Bahamas,1982,24.3,2.99
Bahrain,1982,24,4.69
Bangladesh,1982,127.8,6.06
Barbados,1982,21.6,1.92
Belarus,1982,17.7,2.09
Belgium,1982,11.2,1.59
Belize,1982,47.3,5.51
Benin,1982,124.7,7.02
Bhutan,1982,125.6,6.46
Bolivia,1982,107.2,5.34
Bosnia and Herzegovina,1982,27.2,2.02
Botswana,1982,50,6.01
Brazil,1982,69.7,3.85
Brunei,1982,12.5,3.99
Bulgaria,1982,22.5,2.06
Burkina Faso,1982,113.9,7.17
Burundi,1982,120.3,7.45
Cambodia,1982,98.1,6.01
Cameroon,1982,103.1,6.68
Canada,1982,9.2,1.64
Cape Verde,1982,60.9,6.17
Central African Republic,1982,116.7,5.96
Chad,1982,124.8,7.02
Chile,1982,22.9,2.65
China,1982,44.6,2.62
Colombia,1982,39.7,3.74
Comoros,1982,111.9,7.03
"Congo, Dem. Rep.",1982,129,6.69
"Congo, Rep.",1982,68,6.04
Costa Rica,1982,19.2,3.54
Cote d'Ivoire,1982,109.5,7.38
Croatia,1982,18.4,1.98
Cuba,1982,16.3,1.83
Cyprus,1982,16.3,2.42
Czech Republic,1982,16,2.07
Denmark,1982,8,1.43
Djibouti,1982,112.2,6.32
Dominican Republic,1982,60,4.19
Ecuador,1982,62.5,4.51
Egypt,1982,102.6,5.25
El Salvador,1982,70.8,4.87
Equatorial Guinea,1982,145.1,5.78
Eritrea,1982,111.1,6.62
Estonia,1982,20.9,2.1
Ethiopia,1982,139.5,7.4
Fiji,1982,32.4,3.81
Finland,1982,6.5,1.72
France,1982,9.5,1.84
French Polynesia,1982,NA,3.86
Gabon,1982,69.8,5.72
Gambia,1982,98.6,6.3
Georgia,1982,46.3,2.28
Germany,1982,11,1.46
Ghana,1982,99.3,6.39
Greece,1982,18.7,2.01
Greenland,1982,NA,2.24
Grenada,1982,NA,4.24
Guatemala,1982,81.8,6.11
Guinea,1982,164.3,6.59
Guinea-Bissau,1982,130.7,6.54
Guyana,1982,52.4,3.1
Haiti,1982,123,6.15
Honduras,1982,63.5,6.06
"Hong Kong, China",1982,NA,1.75
Hungary,1982,22,1.88
Iceland,1982,7,2.23
India,1982,108.4,4.52
Indonesia,1982,80.8,4.17
Iran,1982,68.5,6.52
Iraq,1982,51.6,6.41
Ireland,1982,10.4,2.79
Israel,1982,14,3.17
Italy,1982,12.6,1.57
Jamaica,1982,31.3,3.56
Japan,1982,6.5,1.75
Jordan,1982,40.2,7.07
Kazakhstan,1982,54.7,2.97
Kenya,1982,65.8,7.27
Kiribati,1982,85.1,5.02
South Korea,1982,10.5,2.24
Kuwait,1982,25.2,5.08
Kyrgyz Republic,1982,73.7,4.07
Lao,1982,130,6.35
Latvia,1982,19.1,2.02
Lebanon,1982,37.8,3.8
Lesotho,1982,85.8,5.49
Liberia,1982,157.1,6.96
Libya,1982,52.2,7.42
Lithuania,1982,17.1,2.05
Luxembourg,1982,10.5,1.45
"Macao, China",1982,NA,1.88
"Macedonia, FYR",1982,50.2,2.51
Madagascar,1982,108.5,6.24
Malawi,1982,144.4,7.61
Malaysia,1982,22.4,3.73
Maldives,1982,97.3,7.21
